Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000008682,354,353,227,828,1097,593,546,332,171,718,329
ENSMAUG00000008685,1405,1042,865,886,1283,718,418,383,219,998,473
ENSMAUG00000008727,0,0,0,0,0,2,0,0,0,0,0
ENSMAUG00000008752,1720,1179,1371,1911,3079,1821,1018,876,352,2573,1514
ENSMAUG00000008768,5,2,0,0,0,0,0,0,0,2,2
ENSMAUG00000008782,0,2,24,36,68,41,10,17,4,52,19
ENSMAUG00000008788,10846,2616,5272,690,1254,646,384,1499,502,2467,2500
ENSMAUG00000008797,508,500,548,209,223,153,100,123,58,288,139
ENSMAUG00000008807,574,688,910,167,172,113,135,106,76,145,105
ENSMAUG00000008826,18,22,14,13,7,2,2,0,0,12,2
ENSMAUG00000008847,360,446,437,375,401,299,174,192,57,411,241
ENSMAUG00000008862,1711,1280,1108,551,894,629,294,256,100,884,322
ENSMAUG00000008875,778,260,432,122,174,69,62,218,75,267,288
ENSMAUG00000008904,46,89,35,14,6,14,16,8,20,34,2
ENSMAUG00000008910,420,358,468,136,128,107,60,41,31,125,56
ENSMAUG00000008922,566,547,518,136,148,129,97,136,52,211,175
ENSMAUG00000008932,986,639,849,289,408,221,161,157,111,369,267
ENSMAUG00000008945,1339,1267,1597,255,190,253,127,158,78,408,193
ENSMAUG00000008946,40,40,82,186,288,135,50,44,14,183,64
ENSMAUG00000008959,1707,1668,1631,919,1188,1044,419,450,195,1130,629
ENSMAUG00000008962,0,0,0,1,11,0,1,2,2,2,7
ENSMAUG00000008975,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000008976,169,143,184,54,69,78,33,13,8,81,31
ENSMAUG00000008985,1675,1686,1527,1174,1469,1086,500,515,290,1463,674
ENSMAUG00000008987,2681,3494,4006,5288,6620,4684,2951,2179,1167,5946,2720
ENSMAUG00000009000,0,0,0,0,0,2,1,0,0,0,0
